,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
149,Thiagarajar College,B.Sc,B.Sc Computer Science, Madurai, Tamil Nadu,3.9,146,277,2025,"₹ 1,20,000",,"9,00,000",
150,Dr. SNS Rajalakshmi College of Arts and Science,B.Sc,B.Sc Cyber Security, Coimbatore, Tamil Nadu,4.1,147,277,2025,"₹ 1,47,000","3,00,000","9,00,000","AICTE, UGC "
151,Himalayan Institute of Technology,B.Sc,B.Sc Information Technology, Dehradun, Uttarakhand,4.2,148,277,2025,"₹ 2,71,000","10,65,000","26,43,000","AICTE, UGC "
152,JKC College,B.Sc,B.Sc Data Science, Guntur, Andhra Pradesh,4.2,149,277,2025,"₹ 71,100","4,00,000","20,00,000","AICTE, UGC "
153,Kanya Mahavidyalaya,B.Sc,B.Sc Medical, Jalandhar, Punjab,4.8,150,277,2025,"₹ 3,31,710",,"3,00,000",UGC 
154,Government Science College,B.Sc,B.Sc Biotechnology, Ahmedabad, Gujarat,3.8,151,277,2025,"₹ 84,000",,,
155,St. Xavier's College,B.Sc,B.Sc Biotechnology, Bardez, Goa,3.7,152,277,2025,"₹ 1,97,970","3,75,000","6,00,000",UGC 
156,DAV College,B.Sc,B.Sc Medical, Jalandhar, Punjab,3.7,153,277,2025,"₹ 1,28,510",,"6,50,000",UGC 
157,Kasturba Gandhi Degree and PG College for Women,B.Sc,B.Sc Data Science, Secunderabad, Telangana,4.1,154,277,2025,"₹ 21,780","11,00,000","25,00,000",AICTE 
158,RayatBahra Institute of Management,B.Sc,B.Sc Medical Laboratory Science, Hoshiarpur, Punjab,4.1,155,277,2025,"₹ 1,90,400","2,50,000","4,50,000",AICTE 
159,Symbiosis Skills & Professional University,B.Sc,B.Sc Data Science, Pune, Maharashtra,4.1,156,277,2025,"₹ 6,10,000","8,50,000","12,00,000",UGC 
160,Holy Cross College (Autonomous),B.Sc,B.Sc Computer Science, Nagercoil, Tamil Nadu,4.2,157,277,2025,"₹ 81,000",,,
161,St Thomas' College,B.Sc,B.Sc Computer Science, Thrissur, Kerala,4,158,277,2025,"₹ 6,125",,,"MCI, UGC "
162,DAV College,B.Sc,B.Sc Medical, Abohar, Punjab,4.1,159,277,2025,"₹ 65,870","1,00,000","2,80,000",UGC 
163,Gobi Arts and Science College,B.Sc,B.Sc Physics, Gobichettipalayam, Tamil Nadu,4,160,277,2025,"₹ 6,240","2,60,000","6,20,000",
164,Anna Adarsh College for Women,B.Sc,B.Sc Computer Science, Chennai, Tamil Nadu,4.2,161,277,2025,"₹ 2,50,000",,,
165,SM Patel College of Home Science,B.Sc,B.Sc Food & Nutrition, Vallabh Vidyanagar, Gujarat,5,162,277,2025,"₹ 99,240",,,
166,BBK DAV College for Women,B.Sc,B.Sc Medical, Amritsar, Punjab,4.1,163,277,2025,"₹ 2,55,330",,,UGC 
167,Jankidevi Bajaj College of Science,B.Sc,B.Sc {Hons.} Computer Science, Wardha, Maharashtra,3.8,164,277,2025,"₹ 41,364",,,UGC 
168,Bethune College,B.Sc,B.Sc {Hons.} Psychology, Kolkata, West Bengal,4,165,277,2025,"₹ 13,746",,,UGC 
169,St. Xavier's College for Women,B.Sc,B.Sc Zoology, Aluva, Kerala,4.4,166,277,2025,"₹ 7,554",,,
170,Surana College,B.Sc,B.Sc Biotechnology, Bangalore, Karnataka,3.9,167,277,2025,"₹ 1,35,000","7,00,000","16,41,000","AICTE, UGC "
171,DCT’s Dhempe College of Arts and Science,B.Sc,B.Sc, Panji, Goa,3.7,168,277,2025,"₹ 18,990",,,UGC 
172,Hindusthan College of Arts and Science,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4,169,277,2025,"₹ 2,40,000","3,75,000","8,60,000",AICTE 
173,Acharya Institute of Graduate Studies,B.Sc,B.Sc Computer Science, Bangalore, Karnataka,4,172,277,2025,"₹ 1,59,925",,"65,00,000",AICTE 
174,St Aloysius College,B.Sc,B.Sc Computer Science, Jabalpur, Madhya Pradesh,3.8,173,277,2025,"₹ 91,245",,,UGC 
175,SDNB Vaishnav College for Women,B.Sc,B.Sc Computer Science, Chennai, Tamil Nadu,4.3,174,277,2025,"₹ 63,000","7,50,000","7,50,000",UGC 
176,St. Francis de Sales College,B.Sc,B.Sc Psychology, Bangalore, Karnataka,3.9,175,277,2025,"₹ 2,21,000",,,
177,Dr Bhim Rao Ambedkar University,B.Sc,B.Sc Home Science, Agra, Uttar Pradesh,3.6,177,277,2025,"₹ 1,95,000",,"3,15,000",UGC 
178,Amity University,B.Sc,B.Sc {Hons.} Biotechnology, Jaipur, Rajasthan,4.1,178,277,2025,"₹ 5,44,000","4,84,000","52,76,000","AICTE, RCI, COA, BCI, UGC "
179,Hindustan College of Arts and Science,B.Sc,B.Sc Computer Science, Chennai, Tamil Nadu,3.8,179,277,2025,"₹ 1,04,000",,"3,50,000",
180,DAV Centenary College,B.Sc,B.Sc Computer Science, Faridabad, Haryana,3.7,180,277,2025,"₹ 96,717",,,AICTE 
181,Nehru Arts and Science College,B.Sc,B.Sc Computer Science, Coimbatore, Tamil Nadu,4.2,181,277,2025,"₹ 1,59,900",,"10,00,000",
182,MIT World Peace University,B.Sc,B.Sc {Hons.} Data Science & Big Data Analytics, Pune, Maharashtra,3.9,183,277,2025,"₹ 8,00,000","7,00,000","51,36,000","PCI, BCI, UGC "
183,Integral University,B.Sc,B.Sc {Hons.} Biotechnology, Lucknow, Uttar Pradesh,4.1,184,277,2025,"₹ 13,80,000",,"32,50,000","NCTE, COA, PCI, INC, MCI "
