,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
13,Daulat Ram College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.9,14,255,2025,"₹ 1,05,300","6,00,000","23,05,000",UGC 
14,Loyola College,BA,BA Economics, Chennai, Tamil Nadu,4.3,15,255,2025,"₹ 84,660","6,34,000","22,50,000",UGC 
15,Gargi College,BA,BA {Hons.} Applied Psychology, New Delhi, Delhi NCR,4.1,16,255,2025,"₹ 82,825","5,25,000","23,05,000",UGC 
16,Kamala Nehru College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,4,17,255,2025,"₹ 52,650",,"21,50,000",
17,Sri Guru Tegh Bahadur Khalsa College,BA,BA {Hons.} Economics, New Delhi, Delhi NCR,3.9,18,255,2025,"₹ 95,355","5,80,000","23,05,000",
18,Aryabhatta College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.8,19,255,2025,"₹ 72,660","5,30,000","9,00,000",UGC 
19,Atma Ram Sanatan Dharma College,BA,BA {Hons.} Political Science, New Delhi, Delhi NCR,3.9,20,255,2025,"₹ 57,090",,,UGC 
20,St. Xavier's College,BA,BA Psychology, Mumbai, Maharashtra,4.1,21,255,2025,"₹ 34,422","6,00,000","21,00,000",
21,Keshav Mahavidyalaya,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.9,22,255,2025,"₹ 53,920","5,65,000","10,80,000","UGC, MHRD "
22,Mithibai College of Arts,BA,BA Psychology, Mumbai, Maharashtra,4.1,23,255,2025,"₹ 78,000",,"12,88,000","AICTE, UGC "
23,Ramanujan College,BA,BA, New Delhi, Delhi NCR,4,24,255,2025,"₹ 55,260","5,13,000","12,00,000",UGC 
24,Christ University,BA,BA Psychology, Bangalore, Karnataka,4.1,25,255,2025,"₹ 3,98,000","7,00,000","32,00,000","AICTE, UGC, NBA "
25,Sri Guru Gobind Singh College of Commerce,BA,BA {Hons.} Business Economics, New Delhi, Delhi NCR,4.1,26,255,2025,"₹ 1,61,610","5,30,000","23,00,000",
26,Delhi College of Arts and Commerce,BA,BA, New Delhi, Delhi NCR,4,27,255,2025,"₹ 40,200","1,83,333","22,00,000",UGC 
27,Mount Carmel College Autonomous,BA,BA Psychology, Bangalore, Karnataka,4.2,28,255,2025,"₹ 3,62,300","5,50,000","24,80,000",UGC 
28,Zakir Husain Delhi College,BA,BA {Hons.} Psychology, New Delhi, Delhi NCR,3.8,29,255,2025,"₹ 57,309",,,
29,St Joseph's University,BA,BA International Relations, Bangalore, Karnataka,4.1,30,255,2025,"₹ 3,56,000",,,"UGC, MHRD "
30,St. Xavier's College,BA,BA Psychology, Mumbai, Maharashtra,4.1,21,255,2025,"₹ 34,422","6,00,000","21,00,000",
