,College Names,Degress,Course,City,State,Rating for 5,Rank,Total Rank,Year of Rank,Fees in Ruppes,Average Package,Highest Package,Approved
147,NSHM Knowledge Campus,BCA,BCA, Kolkata, West Bengal,3.9,154,251,2025,"₹ 3,78,100","5,58,000","16,57,000",AICTE 
148,Jagran Lakecity University,BCA,BCA, Bhopal, Madhya Pradesh,4.1,155,251,2025,"₹ 2,15,000",,"12,00,000","NCTE, AICTE, COA, BCI, UGC "
149,Mysore Makkala Koota and Sri Dharmasthala Manjunatheswara College for Women,BCA,BCA, Mysore, Karnataka,4.4,156,251,2025,"₹ 90,000",,,"AICTE, UGC "
150,Bhavan's Vivekananda College of Science Humanities and Commerce,BCA,BCA, Secunderabad, Telangana,4.2,157,251,2025,"₹ 61,710",,"23,00,000","AICTE, UGC "
151,St. Xavier's College,BCA,BCA, Bardez, Goa,3.7,158,251,2025,"₹ 1,73,520","3,75,000","6,00,000",UGC 
152,Dr. N.G.P. Arts and Science College,BCA,BCA, Coimbatore, Tamil Nadu,4,159,251,2025,"₹ 1,05,000","3,30,000","9,00,000",UGC 
153,NSHM Knowledge Campus,BCA,BCA, Durgapur, West Bengal,4.2,160,251,2025,"₹ 3,07,500","5,58,000","16,57,000","AICTE, NBA "
154,St. Francis de Sales College,BCA,BCA, Bangalore, Karnataka,3.9,162,251,2025,"₹ 3,39,000",,,
155,Woxsen University,BCA,BCA Artificial Intelligence, Hyderabad, Telangana,4.2,163,251,2025,"₹ 17,60,000","9,90,000","24,00,000","COA, BCI, AACSB, AMBA "
156,Sri Ramakrishna Mission Vidyalaya College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,4.3,164,251,2025,"₹ 1,33,990",,,
157,DAV College For Women,BCA,BCA, Firozpur, Punjab,,165,251,2025,"₹ 1,56,138",,,
158,Indian Academy Degree College,BCA,BCA Artificial Intelligence and Machine Learning, Bangalore, Karnataka,4.1,167,251,2025,"₹ 4,99,051",,,"AICTE, UGC "
159,Anna Adarsh College for Women,BCA,BCA, Chennai, Tamil Nadu,4.2,168,251,2025,"₹ 2,74,000",,,
160,PSIT College of Higher Education,BCA,BCA, Kanpur, Uttar Pradesh,4.2,169,251,2025,"₹ 2,40,000",,,AICTE 
161,Rosary College of Commerce and Arts,BCA,BCA, Salcete, Goa,3.7,170,251,2025,"₹ 1,76,036",,,
162,Patrician College of Arts and science,BCA,BCA, Chennai, Tamil Nadu,4.2,171,251,2025,"₹ 2,28,960",,,
163,Career College,BCA,BCA, Bhopal, Madhya Pradesh,4,172,251,2025,"₹ 90,000",,"8,00,000","AICTE, UGC "
164,Institute of Engineering and Management,BCA,BCA, Kolkata, West Bengal,4,173,251,2025,"₹ 3,70,000","7,50,000","32,00,000","AICTE, NBA "
165,DAV Centenary College,BCA,BCA, Faridabad, Haryana,3.7,174,251,2025,"₹ 1,17,904",,,AICTE 
166,Techno Main Salt Lake,BCA,BCA, Kolkata, West Bengal,3.9,175,251,2025,"₹ 1,64,040","7,50,000","29,00,000","AICTE, COA, PCI, INC, BCI "
167,Shri Nehru Maha Vidyalaya College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,4,176,251,2025,"₹ 1,32,000",,,AICTE 
168,Gobi Arts and Science College,BCA,BCA, Gobichettipalayam, Tamil Nadu,4,177,251,2025,"₹ 42,000","2,60,000","6,20,000",
169,Sanskriti College,BCA,BCA, Jaipur, Rajasthan,3.3,178,251,2025,"₹ 1,29,000",,,
170,Asansol Engineering College,BCA,BCA, Asansol, West Bengal,3.9,179,251,2025,"₹ 4,06,700","5,02,000","30,00,000","AICTE, NBA "
171,SDM College of Business Management  Kodialbail,BCA,BCA, Mangalore, Karnataka,4,180,251,2025,"₹ 76,190","2,40,000","3,60,000",AICTE 
172,Punjab College of Technical Education,BCA,BCA, Ludhiana, Punjab,4,181,251,2025,"₹ 1,76,400","6,00,000","70,00,000",AICTE 
173,Nehru Arts and Science College,BCA,BCA, Coimbatore, Tamil Nadu,4.2,182,251,2025,"₹ 1,80,000",,"10,00,000",
174,Acharya Institute of Graduate Studies,BCA,BCA, Bangalore, Karnataka,4,183,251,2025,"₹ 2,13,175",,"65,00,000",AICTE 
175,Bhakthavatsalam Memorial College for Women,BCA,BCA, Chennai, Tamil Nadu,3.4,184,251,2025,"₹ 13,190",,,
176,Dnyanprassarak Mandal's College of Arts Science Commerce Management Studies & Technology,BCA,BCA, Bardez, Goa,3.3,185,251,2025,"₹ 1,53,620",,,UGC 
177,SASTRA University,BCA,BCA, Thanjavur, Tamil Nadu,3.8,186,251,2025,"₹ 1,24,750",,"27,00,000","NCTE, AICTE, UGC, DEB "
178,St Josephs College Irinjalakuda,BCA,BCA, Thrissur, Kerala,3.9,187,251,2025,"₹ 61,275",,,
179,GD Rungta College of Science & Technology,BCA,BCA, Bhilai, Chhattisgarh,4,188,251,2025,"₹ 89,900","4,00,000","48,00,000",NCTE 
180,Chevalier T.Thomas Elizabeth College For Women,BCA,BCA, Chennai, Tamil Nadu,4.1,189,251,2025,"₹ 2,17,760",,"3,25,500",
181,ICFAI University,BCA,BCA, Dimapur, Nagaland,3.7,190,251,2025,"₹ 2,26,000",,,"UGC, AIU "
182,Sardar Patel Mahavidyalaya,BCA,BCA, Chandrapur, Maharashtra,2.9,191,251,2025,"₹ 84,025",,,AICTE 
183,Sri G.V.G Visalakshi College for Women,BCA,BCA, Udumalaipettai, Tamil Nadu,4.7,192,251,2025,"₹ 4,700",,,
184,Arka Jain University,BCA,BCA, Jamshedpur, Jharkhand,4,193,251,2025,"₹ 3,12,000","3,20,000","23,00,000","AICTE, PCI, INC, BCI, UGC "
185,Vel Tech Ranga Sanku Arts College,BCA,BCA, Chennai, Tamil Nadu,3.3,194,251,2025,"₹ 1,05,000",,"7,36,000",AICTE 
186,Bon Secours College for Women,BCA,BCA, Thanjavur, Tamil Nadu,4.3,196,251,2025,"₹ 67,000",,,
187,Amrapali University,BCA,BCA Artificial Intelligence and Machine Learning, Haldwani, Uttarakhand,4.2,197,251,2025,"₹ 3,42,000","5,72,000","9,00,000","AICTE, UGC "
188,Sri Krishna Adithya College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,4.4,198,251,2025,"₹ 1,50,000","2,25,000","5,00,000",
189,Martin Luther Christian University,BCA,BCA Mobile Application Development, Shillong, Meghalaya,4.1,199,251,2025,"₹ 3,49,400",,,"PCI, INC, UGC "
190,Sree Narayana Guru College of Advanced Studies Vazhukumpara,BCA,BCA, Thrissur, Kerala,3.5,200,251,2025,"₹ 1,10,405",,,
191,St Wilfreds College for Girls,BCA,BCA, Jaipur, Rajasthan,3.6,202,251,2025,"₹ 1,05,300","2,75,000",,
192,ICFAI University,BCA,BCA Artificial Intelligence & Data Science, Ranchi, Jharkhand,3.7,203,251,2025,"₹ 2,08,000","6,75,000","9,32,000","UGC, AIU "
193,Shree Chandraprabhu Jain College Minjur,BCA,BCA, Mambalam, Tamil Nadu,3.9,204,251,2025,"₹ 81,000",,,
194,Shri Shankarlal Sundarbai Shasun Jain College for Women,BCA,BCA, Chennai, Tamil Nadu,4.2,205,251,2025,"₹ 2,05,800","2,50,000","7,60,000",
195,JECRC University,BCA,BCA, Jaipur, Rajasthan,4.1,206,251,2025,"₹ 4,60,000","6,67,000","33,00,000",
196,Seshadripuram First Grade College,BCA,BCA, Bangalore, Karnataka,4.2,207,251,2025,"₹ 1,08,000","2,92,000","7,36,000",UGC 
197,Axis Institute of Higher Education,BCA,BCA, Kanpur, Uttar Pradesh,3.5,209,251,2025,"₹ 1,65,000","6,20,000","51,00,000",AICTE 
198,Pioneer College of Arts & Science,BCA,BCA, Coimbatore, Tamil Nadu,1.6,210,251,2025,"₹ 1,20,000",,,UGC 
199,The Heritage Academy,BCA,BCA, Kolkata, West Bengal,4.1,211,251,2025,"₹ 5,08,700",,,AICTE 
200,Devki Devi Jain Memorial College for Women,BCA,BCA, Ludhiana, Punjab,4.1,212,251,2025,"₹ 1,49,715",,,UGC 
201,Abeda Inamdar Senior College,BCA,BCA, Pune, Maharashtra,3.9,213,251,2025,"₹ 1,00,435",,,"AICTE, UGC "
202,St. Claret College,BCA,BCA, Bangalore, Karnataka,4.2,214,251,2025,"₹ 4,09,000","5,50,000","12,00,000","AICTE, UGC "
203,Theivanai Ammal Women,BCA,BCA, Viluppuram, Tamil Nadu,3.8,215,251,2025,"₹ 1,35,000","5,00,000","8,36,000",
204,St Aloysius College,BCA,BCA, Jabalpur, Madhya Pradesh,3.8,216,251,2025,"₹ 1,22,035",,,UGC 
205,Apeejay College of Fine Arts,BCA,BCA, Jalandhar, Punjab,3.3,217,251,2025,"₹ 1,52,600",,"6,24,000",UGC 
206,PB Siddhartha College Arts and Science,BCA,BCA, Vijayawada, Andhra Pradesh,4.1,219,251,2025,"₹ 1,35,000",,"6,00,000","AICTE, UGC "
207,Mewar University,BCA,BCA, Chittorgarh, Rajasthan,4,220,251,2025,"₹ 4,20,000","3,50,000","25,00,000","NCTE, AICTE, PCI, INC, RNC "
208,RVS College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,4,221,251,2025,"₹ 1,80,000","2,50,000","10,00,000","AICTE, UGC "
209,Government Arts College,BCA,BCA, Salem, Tamil Nadu,4.2,222,251,2025,"₹ 2,305",,,UGC 
210,Institute of Innovation in Technology and Management,BCA,BCA, New Delhi, Delhi NCR,3.9,223,251,2025,"₹ 5,58,800",,"11,00,000",AICTE 
211,Bishop Appasamy College of Arts and Science,BCA,BCA, Coimbatore, Tamil Nadu,3.9,224,251,2025,"₹ 1,41,600",,,"AICTE, UGC "
212,Annai Violet Arts and Science College,BCA,BCA, Chennai, Tamil Nadu,3.7,225,251,2025,,,,AICTE 
213,Alva's College Moodubidire,BCA,BCA, Dakshin Kannada, Karnataka,4.4,226,251,2025,"₹ 21,190",,,
214,Vivekanandha College of Arts and Sciences for Women,BCA,BCA, Namakkal, Tamil Nadu,4.4,227,251,2025,"₹ 1,29,000","2,59,000","5,00,000",AICTE 
215,Nehru Memorial College,BCA,BCA, Tiruchirappalli, Tamil Nadu,4.5,228,251,2025,"₹ 35,515",,,UGC 
216,DAV College,BCA,BCA, Amritsar, Punjab,3.7,229,251,2025,"₹ 2,77,380",,,UGC 
217,Fr. Agnel College of Arts and Commerce,BCA,BCA, North Goa, Goa,,230,251,2025,"₹ 1,58,535",,,UGC 
218,Periyar Maniammai Institute of Science and Technology,BCA,BCA, Thanjavur, Tamil Nadu,4,231,251,2025,"₹ 1,31,000",,"3,84,000","AICTE, COA, UGC "
219,Nazareth College of Arts & Science,BCA,BCA, Avadi, Tamil Nadu,2.9,232,251,2025,"₹ 75,000",,,
220,Soundarya Institute of Management and Science,BCA,BCA Data Science, Bangalore, Karnataka,4,233,251,2025,"₹ 4,10,000","6,12,000","12,50,000","AICTE, UGC "
221,Thiruthangal Nadar College,BCA,BCA, Chennai, Tamil Nadu,3.5,234,251,2025,"₹ 1,39,500",,,
222,SS Jain Subodh PG Mahila Mahavidyalaya,BCA,BCA, Jaipur, Rajasthan,3.9,235,251,2025,"₹ 96,300",,,NCTE 
223,Sree Saraswathi Thyagaraja College,BCA,BCA, Pollachi, Tamil Nadu,4.2,236,251,2025,"₹ 1,32,000","2,40,000","7,00,000","AICTE, NBA "
224,P K R Arts College for Women,BCA,BCA, Gobichettipalayam, Tamil Nadu,4.4,237,251,2025,"₹ 63,000",,,AICTE 
225,St. Joseph's College of Arts & Science (Autonomous),BCA,BCA, Cuddalore, Tamil Nadu,4,238,251,2025,"₹ 1,01,700",,,
226,Dr. R. V. Arts and Science College,BCA,BCA, Coimbatore, Tamil Nadu,,239,251,2025,"₹ 78,000",,,UGC 
227,Thanthai Hans Roever College,BCA,BCA, Perambalur, Tamil Nadu,3.8,240,251,2025,"₹ 99,000","2,41,000","2,76,000",
228,Government College of Commerce and Business Administration,BCA,BCA, Chandigarh, Chandigarh,4,241,251,2025,"₹ 1,70,772","4,50,000","7,00,000",
229,Cauvery College for Women,BCA,BCA, Tiruchirappalli, Tamil Nadu,4.3,243,251,2025,"₹ 1,14,600",,,
230,Makhanlal Chaturvedi National University of Journalism and Communication,BCA,BCA, Bhopal, Madhya Pradesh,4.1,244,251,2025,"₹ 1,08,642",,,"AICTE, UGC "
231,SAFI Institute of Advanced Study   Vazhayoor,BCA,BCA {Hons.}, Malappuram, Kerala,4,245,251,2025,"₹ 1,26,000",,,"AICTE, UGC "
